* Measurement data measured by REW V5.20 Beta 47
* Source:
* Format:
* Dated:
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	
5700.0000	-1.5109
5800.0000	-2.1558
5900.0000	-3.0071
6000.0000	-3.523
6080.0000	-3.91
6150.0000	-4.1163
6220.0000	-4.3485
6300.0000	-4.7096
6400.0000	-4.8902
6500.0000	-4.9934
6600.0000	-4.9676
6700.0000	-4.787
6800.0000	-4.4775
6900.0000	-3.8584
7000.0000	-3.4198
7100.0000	-2.4396
7200.0000	-1.7431
7300.0000	0.8107
7400.0000	2.281
7500.0000	3.932
7620.0000	3.932
7750.0000	3.545
7880.0000	0.4753
8000.0000	-0.2727
8120.0000	-1.3562
8250.0000	-3.7552
8380.0000	-4.2453
8500.0000	-5.045
8620.0000	-5.7157
8750.0000	-6.5411
8850.0000	-7.057
9000.0000	-7.5729
9120.0000	-8.0115
9250.0000	-8.321
9380.0000	-8.4758
9500.0000	-8.5016
9620.0000	-8.5274
9750.0000	-8.579
9880.0000	-8.6048
10000.0000	-8.579
10150.0000	-8.5274
10300.0000	-8.3726
10440.0000	-8.2952
10600.0000	-8.0115
10750.0000	-7.7277
10900.0000	-7.5214
11060.0000	-7.4698
11200.0000	-7.4956
11380.0000	-7.7019
11500.0000	-8.192
11720.0000	-8.8885
11800.0000	-9.1465
12060.0000	-9.0433
12200.0000	-8.45
12410.0000	-7.5987
12500.0000	-5.9994
12650.0000	-4.4259
12800.0000	-3.9615
13150.0000	-2.9297
13200.0000	-2.9297
13400.0000	-2.8781
13600.0000	-2.9555
13800.0000	-2.9297
14000.0000	-2.5686
14300.0000	-2.0011
14500.0000	-1.3046
14750.0000	-0.1696
15000.0000	1.6361
15250.0000	2.7712
15500.0000	3.1839
15750.0000	2.6422
16000.0000	1.5845
16250.0000	-0.9434
16500.0000	-1.8463
16750.0000	-4.2195
17000.0000	-3.9357
17250.0000	-5.045
17500.0000	-5.6641
17750.0000	-6.1284
18000.0000	-6.3348
18250.0000	-6.3605
18500.0000	-6.6185
18750.0000	-7.3408
19000.0000	-9.5076
19250.0000	-7.8309
19500.0000	-7.8309
19750.0000	-7.8309
