* Measurement data measured by REW V5.20 Beta 47
* Source:
* Format:
* Dated:
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
14500.0000	-14.8218
14750.0000	-14.7656
15000.0000	-13.867
15250.0000	-13.3615
15500.0000	-13.3615
15750.0000	-13.7546
16000.0000	-14.8218
16250.0000	-15.1587
16500.0000	-15.6081
16750.0000	-14.8779
17000.0000	-13.4738
17250.0000	-11.1149
17500.0000	-9.7108
17750.0000	-8.9245
18000.0000	-8.6999
18250.0000	-9.767
18500.0000	-10.8903
18750.0000	-11.9012
19000.0000	-13.193
19250.0000	-14.5971
19500.0000	-16.5628
19750.0000	-18.5286
