* Measurement data measured by REW V5.20 Beta 47
* Source:
* Format:
* Dated:
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
6300.0000	3.6562
6400.0000	4.4425
6500.0000	4.4425
6600.0000	4.4425
6700.0000	4.4425
6800.0000	4.4425
6900.0000	4.4425
7000.0000	7.9247
7100.0000	8.374
7200.0000	8.4864
7300.0000	8.2617
7400.0000	8.2617
7500.0000	8.2617
7620.0000	8.2617
7750.0000	8.2617
7880.0000	8.2617
8000.0000	8.2617
8120.0000	1.2973
8250.0000	0.9042
8380.0000	0.6234
8500.0000	0.3987
8620.0000	0.2864
8750.0000	0.2864
8850.0000	0.3987
9000.0000	0.7919
9120.0000	0.9604
9250.0000	1.0727
9380.0000	1.0727
9500.0000	1.0727
9620.0000	1.0727
9750.0000	0.7357
9880.0000	0.6234
10000.0000	0.6234
10150.0000	0.6234
10300.0000	0.6234
10440.0000	0.6234
10600.0000	-2.6341
10750.0000	-4.7122
10900.0000	-5.667
11060.0000	-6.004
11200.0000	-6.004
11380.0000	-6.004
11500.0000	-6.004
11720.0000	-6.004
11800.0000	-6.004
12060.0000	1.2412
12200.0000	1.2973
12410.0000	0.7357
12500.0000	0.2864
12650.0000	-0.9492
12800.0000	-2.4656
13150.0000	-5.8355
13200.0000	-6.341
13400.0000	-7.0149
13600.0000	-8.0259
13800.0000	-9.8231
14000.0000	-11.5081
14300.0000	-13.6423
14500.0000	-14.4848
14750.0000	-14.4286
15000.0000	-13.867
15250.0000	-13.3615
15500.0000	-13.3615
15750.0000	-13.7546
16000.0000	-14.8218
16250.0000	-15.1587
16500.0000	-15.6081
16750.0000	-14.8779
17000.0000	-13.4738
17250.0000	-11.1149
17500.0000	-9.7108
17750.0000	-8.9245
18000.0000	-8.6999
18250.0000	-9.767
18500.0000	-10.8903
18750.0000	-11.9012
19000.0000	-13.193
19250.0000	-14.5971
19500.0000	-16.5628
19750.0000	-18.5286
